"Number
of shareholders","Number
of shares","%
Shareholding"
"377,352","227,027,165
521,212,643
520,718,103
512,158,092
1,741,989,739
4,435,329,811
2,084,419,867
30,022,572,580",0.57%
"182,116",,1.30%
"20,771",,1.30%
"1,854",,1.28%
492,,4.35%
179,,11.07%
9,,5.20%
2,,74.93%
"582,775","40,065,428,000",100.00%
