Condensed consolidated Interim Statement of Cash Flows,Group,Column,%
(Kshs ‘000’),30-Sep-16,30-Sep-15,Change
,,"37,647,624
(79,008)
-
332,396
(8,241,156)",
,"50,663,676",,34.6%
,"116,543",,<100%
,"(15,896)",,-
,"671,934",,>100%
,"(12,274,091)",,48.9%
,"39,162,166","29,659,856
(19,973,192)
(2,560,164)",32.0%
,"(18,920,421)",,(5.3%)
,"16,567,201",,<100%
,"36,808,946","7,126,500",>100%
,,"11,916,371
7,126,500",
,"6,220,005",,(47.8%)
,"36,808,946",,>100%
,"43,028,951","19,042,871",126.0%
