Column,"2023
KShs’m","2022
KShs’m","2023
KShs’m","2022
KShs’m"
"Profit before income tax
Adjustments for:
Hyperinflationary monetary gain
Interest income (Note 8)
Interest expense (Note 9)
Interest on lease liability
Depreciation on property and equipment (Note 18)
Amortisation of financial guarantee
Amortisation of right of use (ROU) asset (Note 22(a))
Amortisation of intangible assets (Note 21)
Share of loss from associate (Note 23(b))
Amortisation of IRUs (Note 19)
Share of loss of Joint Venture (M-PESA Africa Limited) (Note 23(b))
Fair value adjustment to investment properties (Note 20)
Gain on disposal of property and equipment (Note 5(b))
Amortisation of deferred restricted cash asset (Note 8)
Discounting adjustment on construction contract receivable
Interest on ARO liability
Gain/loss on lease termination
Revaluation of lease liability
Expected credit loss of receivables
Change in operating assets and liabilities:
– Movement in accrual for other liabilities (Note 29(b))
– Movement in contract liabilities
– Movement in contract costs
– Movement in receivables and prepayments
– Movement in inventories
– Movement in payables and accrued expenses","88,345.2","102,213.4","109,110.2","106,065.3"
,"(10,383.1)",–,–,–
,"(1,563.7)","(1,227.6)","(1,304.9)","(1,206.0)"
,"7,786.6","3,165.4","7,320.6","2,986.4"
,"2,875.9","1,802.9","2,238.5","1,772.4"
,"39,754.5","34,145.2","36,971.8","33,922.2"
,–,–,–,120.9
,"6,411.3","3,656.8","4,419.0","3,644.2"
,"8,417.9","1,850.0","2,329.6","1,850.0"
,(12.5),279.8,(12.5),279.8
,281.3,281.3,281.3,281.3
,50.7,196.2,50.7,196.2
,(90.0),–,(90.0),–
,(34.6),(47.1),(34.6),(47.1)
,(7.8),20.6,(7.8),20.6
,(36.4),(36.1),(36.4),(36.1)
,382.6,379.4,382.6,379.4
,(56.1),(8.9),(90.0),(7.1)
,731.1,184.7,586.2,184.7
,"4,725.3","2,351.3","4,925.3","2,594.8"
,"2,429.8",751.3,995.1,751.3
,(414.4),"(1,321.5)",(852.9),"(1,321.5)"
,"(1,946.7)",444.4,"(1,724.5)",444.4
,"(10,042.5)","(5,945.3)","(6,537.5)","(4,265.5)"
,651.2,"(1,819.8)","1,916.0","(1,706.2)"
,"21,341.2","2,258.3","3,627.6","(1,103.4)"
Cash generated from operations,"159,596.8","143,574.7","164,463.4","145,801.0"
