H2 FY12,H2 FY13,VARIANCE
"37.47
4.12
2.77
0.74
8.99","40.24
5.86
3.34
1.10
11.41","7.4%
42.2%
20.6%
48.6%
26.9%"
54.09,61.95,14.5%
"2.83
0.45","2.50
0.72","-11.7%
60.0%"
57.37,65.17,13.6%
(21.50),(23.86),-11.0%
35.87,41.31,15.2%
"62.5%
(13.13)
22.9%","63.4%
(14.42)
22.1%","0.9%
-9.8%
-0.8%"
22.74,26.89,18.2%
"39.6%
(8.62)
(2.14)
(3.36)","41.3%
(12.17)
(0.78)
(4.17)","1.6%
-41.2%
63.6%
-24.1%"
8.62,9.77,13.3%
"0.22
10.09","0.25
9.37","13.6%
-7.1%"
