KShs Bn,"HY19
IFRS 15","HY19
IAS 18","HY18
IAS 18","YoY%
IAS 18"
M-PESA Commissions,(10.59),(10.59),(9.62),10.0%
,(5.50),(5.50),(5.79),(4.9%)
Licence Fees,(5.19),(5.20),(4.92),5.6%
,(3.61),(3.61),(3.62),(0.3%)
Handset costs,(2.75),(2.75),(3.44),(20.1%)
,(3.61),(3.46),(3.62),(4.6%)
Value Added Services costs (Voice & SMS),(3.10),(3.10),(2.82),9.6%
,(0.10),(0.10),(0.64),(84.0%)
Others,(0.50),(0.50),(1.59),(68.2%)
Total,(34.96),(34.81),(36.07),(3.5%)
Repairs and maintenance,(0.15),(0.15),(0.12),25.8%
,(0.60),(0.60),(0.54),10.1%
Operating lease rentals'- Sites,(1.30),(1.30),(1.18),10.8%
,(0.16),(0.16),(0.16),(2.1%)
Employee benefits expense,(8.22),(8.22),(7.50),9.6%
,(0.03),(0.03),(0.03),12.8%
Sales and advertising,(3.87),(3.87),(3.33),16.3%
,0.38,0.38,(0.83),<100.0
Site/facilities costs,(7.15),(7.15),(6.43),11.1%
,(0.46),(0.46),(0.35),31.1%
Computer maintenance,(1.12),(1.12),(1.11),1.3%
,(0.74),(0.74),(0.59),24.9%
Other operating expenses (2.39) (2.39) (1.95) 22.6%,,,,
Total (25.82) (25.82) (24.13) 7.0%,,,,
