GROUP,Column,Column,Column
"2022 2021 2022 2021
KShs’m KShs’m KShs’m KShs’m",,,
,"10.4
22.7
2,292.5
10.2
69.7
–
3.5
4.6
1.2
28.9
2.3
0.1
–
–
–
29.3
–
–
–
–
–
–
–
–",,"10.4
22.7
1,622.3
10.2
69.7
–
3.5
4.6
1.2
28.9
2.3
0.1
–
–
–
29.3
16.0
88.4
116
–
–
848.7
–
–"
–,,–,
45.2,,44.2,
"1,160.9",,990.4,
3.1,,3.1,
85.7,,85.7,
25.7,,25.7,
8.3,,8.3,
8.6,,8.6,
1.2,,1.2,
0.4,,0.4,
1.6,,1.6,
0.1,,0.1,
37.0,,37.0,
0.3,,0.3,
1.5,,1.5,
421.6,,421.6,
–,,16.0,
–,,90.1,
–,,93.4,
–,,725.7,
–,,124.6,
–,,"1,153",
–,,0.9,
–,,1.3,
"1,801.2","2,475.4","3,834.7","2,874.3"
