KShs Bn,"HY 19
IFRS 15","HY19
IAS 18","HY18
IAS 18","YoY%
IAS 18"
,47.53,48.03,47.35,1.4%
Messaging revenue,9.67,8.81,8.92,(1.2%)
,19.01,19.45,17.55,10.8%
Fixed service revenue,3.84,3.91,3.23,21.0%
,35.52,35.52,30.05,18.2%
Other service revenue,2.49,2.49,2.63,(5.3%)
Service Revenue,118.05,118.21,109.73,7.7%
Total Revenue,122.66,122.84,114.43,7.4%
,87.57,87.90,78.47,12.0%
Contribution margin %*,71.5%,71.6%,68.5%,3.1ppts
,61.79,62.12,54.27,14.5%
EBITDA margin %*,50.4%,50.6%,47.4%,3.2ppts
,44.22,44.56,37.53,18.7%
EBIT Margin %*,36.1%,36.3%,32.8%,3.5ppts
Net Income,31.17,31.50,26.20,20.2%
Net Income %*,25.4%,25.7%,22.9%,2.8ppts
Earnings per share,0.78,0.79,0.65,20.2%
