Category of Applicant,"Number of
Offer Shares1","% of Domestic
Pool Offer Shares"
Retail,"3,380,000,000",52%
Qualified Institutional Investors,"2,730,000,000",42%
Authorised Safaricom Dealers,"130,000,000",2%
Employees,"260,000,000",4%
Total,"6,500,000,000",100%
