GROUP,Column,Column,Column
"2022 2021 2022 2021
KShs’m KShs’m KShs’m KShs’m",,,
"4,509.1","4,217.0
2,601.0
1,843.8
1,640.1
605.5
830.8
135.4
16.8
2.9
3.1
1,202.6
360.7
9.9","4,509.1","4,217.0
2,601.0
1,843.8
1,640.1
605.5
830.8
135.4
16.8
2.9
3.1
1,202.6
360.7
9.9"
"2,335.1",,"2,335.1",
"1,243.3",,"1,243.3",
"1,683.3",,"1,683.3",
637.5,,637.5,
274.7,,274.7,
128.7,,128.7,
0.4,,0.4,
4.4,,4.4,
2.8,,2.8,
"1,138.3",,"1,138.3",
189.8,,189.8,
0.7,,0.7,
"12,148.1","13,469.6","12,148.1","13,469.6"
,"10,394.3
233,369.2
(230,293.9)",,"10,359.3
233,239.6
(230,129.3)"
"13,469.6",,"13,469.6",
"189,898.3",,"189,898.3",
"(191,219.8)",,"(191,219.8)",
"12,148.1","13,469.6","12,148.1","13,469.6"
"10,210.6","11,033.5
2,436.1","10,210.6","11,033.5
2,436.1"
"1,937.5",,"1,937.5",
"12,148.1","13,469.6","12,148.1","13,469.6"
