Kshs Bn,Column,30-Sep-12,% Increase/
,30-Sep-13,,
,,,(Decrease)
"Voice revenue
Messaging revenue
Mobile data revenue
Fixed service revenue
M-PESA revenue",41.92,"37.42
4.27
2.97
1.01
10.43",12.03
,6.35,,48.71
,4.25,,43.10
,1.22,,20.79
,12.50,,19.85
"Service Revenue
Handset revenue
Acquisition and other revenue",66.24,"56.10
2.43
0.59",18.07
,2.22,,(8.64)
,0.74,,25.42
"Total Revenue
Direct costs",69.20,"59.12
(22.96)",17.05
,(24.85),,8.23
"Contribution margin
Contribution margin %
Operating costs
Operating cost % total revenue",44.35,"36.16
61.16%
(13.87)
23.46%",22.65
,64.09%,,2.93
,(15.50),,11.75
,22.40%,,(1.06)
EBITDA,28.85,22.29,29.43
"EBITDA margin %
Depreciation, impairment & amortisation
Financing cost
Taxation",,"37.70%
(9.91)
(0.87)
(3.74)",
,41.69%,,3.99
,(12.70),,28.15
,(0.24),,(72.41)
,(4.65),,24.33
Net Income,11.26,7.77,44.92
Earnings per share,,0.19,
,0.28,,47.37
