HY22,HY21,% Change YoY
41.95,38.14,10.0%
559.66,536.91,4.2%
31.75,30.31,4.7%
711.67,665.41,7.0%
32.2%,31.5%,(0.7ppt)
27.14,26.90,0.9%
247.60,254.98,(2.9%)
"257,840","215,367",19.7%
28.69,26.79,7.1%
300.71,229.11,31.3%
18.06,9.41,91.9%
24.05,22.91,5.0%
16.95,15.68,8.1%
198.32,183.80,7.9%
20.81,21.51,(3.2%)
44.68,55.95,(20.1%)
"153,371","130,898",17.2%
"2,211","2,116",4.5%
63.9%,53.5%,10.4ppt
"44,893","32,449",38.3%
"25,375","16,258",56.1%
"11,629","14,792",(21.4%)
"3,735","3,883",(3.8%)
"5,790","5,364",7.9%
"5,769","5,334",8.2%
"5,675","5,195",9.2%
