"2019
KShs’m",Column,"2019
KShs’m"
"2,003",,"2,003"
"2,200",,"2,200"
"65,221",,"63,846"
"74,923",,"74,923"
"144,347","123,914","142,972"
,"-
-",
"1,131",,"1,131"
739,,739
"1,870",-,"1,870"
"146,217","123,914","144,842"
,"2,160
121,709
3,854
845
8,756
-
145
45
-
-
1,584
879",
"1,602",,"1,566"
"125,217",,"124,821"
"3,553",,"3,553"
845,,845
"7,386",,"7,380"
-,,431
150,,150
57,,57
-,,-
965,,965
"1,846",,"1,846"
896,,896
"142,517","139,977","142,510"
,"9,497
-
15,857
1,605
503
-",
"20,030",,"19,828"
"8,043",,"7,867"
"18,126",,"17,206"
"1,775",,"1,775"
-,,-
"1,985",,"1,985"
"49,959","27,462","48,661"
,"26,467
144
4,040
4,028
8,846
43,525
(16,063)",
"28,704",,"28,911"
349,,255
"4,032",,"4,032"
"3,894",,"3,894"
"9,280",,"9,237"
"46,259",,"46,329"
"3,700",,"2,332"
"146,217","123,914","144,842"
