"Safaricom
Kenya","Safaricom
Ethiopia","Safaricom
Plc Group","Safaricom
Kenya
%YoY","Safaricom
Plc Group
% YoY"
"38,685.6",424.0,"39,109.6",(3.0%),(1.9%)
"5,745.5",19.1,"5,764.6",6.0%,6.3%
"29,585.4","1,364.4","30,949.8",12.5%,17.7%
"66,232.2",7.2,"66,239.4",16.5%,16.5%
"3,943.3",156.6,"4,075.7",(10.8%),(7.8%)
"5,622.3",4.2,"5,626.5",8.4%,8.5%
"149,814.2","1,975.5","151,765.6",8.5%,9.9%
"7,370.3",0.0,"7,370.3",9.1%,9.1%
"157,184.5","1,975.5","159,135.9",8.5%,9.9%
"2,944.4",894.6,"3,839.0",(59.0%),(47.2%)
"1,622.0",19.8,"1,641.9",21.8%,23.3%
"161,750.9","2,889.9","164,616.8",5.5%,7.3%
"(41,265.9)","(3,156.9)","(44,398.7)",(11.5%),(5.2%)
"(2,803.8)",(0.3),"(2,804.1)",74.8%,74.0%
"117,681.3",(267.3),"117,414.0",12.0%,11.8%
72.8%,-9.2%,71.3%,4.2ppt,2.9ppt
"(27,186.9)","(10,450.7)","(37,741.1)",8.7%,21.9%
"90,494.4","(10,718.0)","79,672.9",13.0%,7.6%
55.9%,-373.9%,48.4%,3.7ppt,0.1ppt
"(23,381.8)","(14,844.4)","(38,226.1)",7.7%,67.7%
"67,112.6","(25,562.3)","41,446.8",14.9%,(19.1%)
41.5%,-884.5%,25.2%,3.4ppt,(8.2ppt)
"(5,315.7)","(1,812.1)","(7,121.3)",92.3%,>100.0%
(412.5),0.0,(412.5),>100.0%,>100.0%
-,"13,027.4","13,027.4",-,100%
"61,384.4","(14,437.1)","46,940.4",10.5%,(2.7%)
"(19,753.1)",0.0,"(19,753.1)",9.6%,9.6%
"41,631.4","(14,437.1)","27,187.3",10.9%,(10.1%)
"41,631.4","(7,413.1)","34,164.6",10.9%,2.1%
-,"(6,933.9)","(6,977.3)",-,>100.0%
"41,631.4","(14,437.1)","27,187.3",10.9%,(10.1%)
