INPUTS
"• KShs 1.45 trillion, USD 13.28 billion market
capitalisation (2020: KShs 1.06 trillion, USD 10.08 billion)
• 64.4% market share as at 31 March 2021
• KShs 64.5 billion free cash flow"
"• 6,230 (full-time employees and contractors) in FY21
• Experienced and ethical leadership team
• Digital operating model and agile ways of working
• Strong employee proposition and unique reward propositions
• Commitment to equal opportunities, safety and wellbeing
• Digital and leadership upskilling and reskilling
• Investment in training and development"
"• 10,080km Fibre footprint
• KShs 34.96 billion capital expenditure for the year
• A total of 5,526 2G base stations, of which 5,500 are
3G base stations and 5,387 are 4G base stations
• Optimised capital allocation and diversification of revenue
growth areas"
"• A deliberately shaped agile culture
• A trustworthy brand that resonates with consumers
• Marketing campaigns and initiatives
• IT systems and enterprise architecture
• Strong balance sheet, diversified portfolio
• Market and data analysis"
"• 39.90 million customers
• 28.31 million one-month active M-PESA customers
• 247k+ M-PESA agents
• Informed engagement with regulators
• New brand promise
• Investor confidence
• Long-standing supplier partnerships
• Strong corporate governance"
"• Radio spectrum (700, 800, 900, 1,800, 2,100 and
3,500MHz bands)
• Consumed 171.1MWh electricity (2020: 171.5MWh)
• Used 57,103m3 of water (2020: 102,231m3)
• Used 11.6 million litres of fuel (2020: 9.8 million litres)"
