"Safaricom
Kenya",Column,"Safaricom
Plc Group","Safaricom
Kenya
%YoY","Safaricom
Plc Group
% YoY"
"80,784.7","1,174.3
82.0
5,658.2
12.5
367.0
191.9
7,485.9
62.7
7,548.6
382.8
(22.9)
7,908.5
(5,230.3)
(147.4)
2,530.8
32.0%
(36,223.0)
729.7%
(33,692.2)
-426.0%
(20,464.1)
(54,156.3)
-685.0%
(6,840.3)
-
-
11,222.3
(49,774.3)
-","81,958.9",1.6%,1.8%
"12,477.4",,"12,559.4",1.6%,1.9%
"72,863.2",,"78,521.4",15.2%,16.5%
"161,118.6",,"161,131.2",15.2%,15.1%
"7,856.5",,"8,136.7",(4.8%),(5.0%)
"12,117.3",,"12,309.1",5.3%,6.6%
"347,217.7",,"354,616.7",10.3%,10.7%
"17,065.0",,"16,798.7",12.9%,12.3%
"364,282.7",,"371,415.4",10.5%,10.8%
"12,635.2",,"13,018.0",44.1%,23.5%
"4,278.9",,"4,255.5",21.3%,19.7%
"381,196.8",,"388,688.9",11.4%,11.2%
"(96,266.9)",,"(101,081.3)",7.2%,4.2%
"(11,059.0)",,"(11,146.0)",91.5%,91.9%
"273,870.9",,"276,461.6",11.1%,12.1%
71.8%,,71.1%,(0.3ppt),0.5ppt
"(68,088.3)",,"(104,310.7)",14.4%,25.2%
17.9%,,26.8%,0.5ppt,3.0ppt
"205,782.6",,"172,150.9",10.1%,5.4%
54.0%,,44.3%,(0.7ppt),(2.4ppt)
"(47,636.8)",,"(68,100.8)",1.2%,(17.9%)
"158,145.8",,"104,050.1",13.0%,29.5%
41.5%,,26.8%,0.6ppt,3.8ppt
"(14,044.1)",,"(20,909.4)",19.2%,25.6%
"(1,177.5)",,"(1,177.5)",(14.6%),(14.6%)
27.1,,25.0,100.0%,100.0%
-,,"11,222.3",0.0%,(49.8%)
"142,924.2",,"93,210.5",12.7%,10.1%
"(47,453.3)",,"(47,453.3)",12.9%,12.9%
"95,470.9","(49,774.3)","45,757.2",12.7%,7.3%
,"(25,718.4)
(24,055.9)",,,
"95,470.9",,"69,798.7",12.7%,10.8%
-,,"(24,041.5)",-,18.2%
"95,470.9","(49,774.3)","45,757.2",12.7%,7.3%
