"2025
KShs’m"
"200,014.5"
"2,252.9"
"(47,524.0)"
"154,743.4"
"(45,162.7)"
40.8
"(12,238.5)"
(53.8)
–
272.0
"2,251.3"
–
239.5
(90.1)
"(30,161.1)"
"(1,532.5)"
"(2,270.0)"
"(88,705.1)"
"(53,227.8)"
"(3,714.6)"
"(3,079.4)"
–
"(12,764.8)"
"28,000.0"
"(24,415.5)"
–
"(69,202.1)"
"(3,163.8)"
"19,072.1"
–
–
"(3,163.8)"
"15,908.3"
