Column,Column,√,Column,√,Column
John Tombleson,CFO,√,√,-,√
Joseph Ogutu,"Director, Strategy and Innovation",-,-,-,√
Roy Masamba,"Director, Resources",√,√,√,√
Nicholas Mulila,"Director, Risk Management",√,√,√,√
Denish Osodo,"Director, Internal Audit",-,√,√,√
Stephen Chege,"Director, Corporate Affairs",√,√,√,√
Patrick Kinoti - Secretary,"HOD, Ethics and Compliance",√,√,√,√
