Name,Definition
2G,"2G networks are operated using the Global System for Mobile (GSM) technology
which offers services such as voice, text messaging and low speed data. In
addition, all the Group's controlled networks support General Packet Radio
Services (GPRS), often referred to as 2.5G. GPRS allows mobile devices to access
IP based data services such as the internet and email."
3G,"A cellular technology based on wide band code division multiple access
delivering voice and faster data services."
4G/LTE,"4G or Long-Term Evolution (‘LTE’) technology offers even faster data transfer
speeds than 3G/HSPA."
5G,"5G is the fifth-generation wireless broadband technology which provides better
speeds and coverage than the current 4G."
Adjusted EBIT,"Operating profit excluding share of results in associates and joint ventures,
impairment losses, amortisation of customer bases and brand intangible assets
restructuring costs arising from discrete restructuring plans and other income
and expense. The Group's definition of adjusted EBIT may not be comparable
with similarly titled measures and disclosures by other companies."
Adjusted EBITDA,"Operating profit excluding share of results in associates and joint ventures,
depreciation and amortisation, gains/losses on the disposal of fixed assets,
impairment losses, restructuring costs arising from discrete restructuring plans
and other income and expense. The Group's definition of adjusted EBITDA
may not be comparable with similarly titled measures and disclosures by other
companies."
AGM,Annual General Meeting.
ARPU,"Average Revenue Per ser, defined as customer revenue and incoming revenue
divided by average customers."
Capital additions ('capex'),"Comprises the purchase of property, plant and equipment and intangible assets,
other than licence and spectrum payments, during the year."
Churn,"Total gross customer disconnections in the period divided by the average total
customers in the period."
Customer Costs,"Customer costs include acquisition costs, retention costs and expenses related to
ongoing commissions."
"Customer Value
Management (CVM)","The delivery of perceived value to identifiable customer segments that results in
a profitable return for the Company."
"Depreciation and other
amortisation","The accounting charge that allocates the cost of a tangible or intangible asset to
the income statement over its useful life. This measure includes the profit or loss
on disposal of property, plant, equipment and computer software."
Direct costs,"Direct costs include interconnect costs and other direct costs of providing
services."
Fixed service revenue,Service revenue relating to provision of fixed line (‘fixed’) and carrier services.
