(b) Company,"Network
infrastructure","Capital work
in progress
(CWIP)*","Network
maintenance
spares","Leasehold
improvements","Vehicles &
equipment",Fibre,Total
,Shs’000,"Shs’000
22,909,945
-",Shs’000,"Shs’000
4,539,973
(3,411,745)",Shs’000,"Shs’000
8,053,140
(304,342)",Shs’000
,"195,257,514",,"922,898",,"28,097,057",,"259,780,527"
,"(127,349,977)",,"(447,243)",,"(20,542,371)",,"(152,055,678)"
,"67,907,537","22,909,945","475,655","1,128,228","7,554,686","7,748,798","107,724,849"
,,"22,909,945
32,971,341
(1,211,859)
(36,167,245)
-
-
-
-
-",,"1,128,228
-
-
1,000,822
-
919
(474,833)
-
-",,"7,748,798
-
-
5,593,245
-
8,303
(529,159)
-
-",
,"67,907,537",,"475,655",,"7,554,686",,"107,724,849"
,-,,"366,082",,-,,"33,337,423"
,-,,-,,-,,"(1,211,859)"
,"16,887,273",,-,,"12,685,905",,-
,-,,-,,"(97,735)",,"(97,735)"
,"(48,240)",,-,,"39,018",,-
,"(17,022,354)",,"(161,894)",,"(6,459,200)",,"(24,647,440)"
,"(1,790,267)",,-,,-,,"(1,790,267)"
,-,,-,,"87,232",,"87,232"
,"65,933,949","18,502,182","679,843","1,655,136","13,809,906","12,821,187","113,402,203"
,,"18,502,182
-",,"5,541,714
(3,886,578)",,"13,654,688
(833,501)",
,"212,096,547",,"1,288,980",,"40,724,245",,"291,808,356"
,"(146,162,598)",,"(609,137)",,"(26,914,339)",,"(178,406,153)"
,"65,933,949","18,502,182","679,843","1,655,136","13,809,906","12,821,187","113,402,203"
,,"18,502,182
34,776,656
(34,081,765)
-
-
-
-
-",,"1,655,136
-
431,148
-
-
(511,872)
-
-",,"12,821,187
-
1,709,148
-
-
(603,390)
-
-",
,"65,933,949",,"679,843",,"13,809,906",,"113,402,203"
,-,,"150,988",,"406,689",,"35,334,333"
,"19,592,821",,-,,"12,348,648",,-
,-,,"(107,408)",,"(169,571)",,"(276,979)"
,-,,-,,-,,-
,"(18,481,985)",,"(192,303)",,"(9,417,691)",,"(29,207,241)"
,"(2,331,357)",,-,,-,,"(2,331,357)"
,-,,"107,409",,"161,553",,"268,962"
,"64,713,428","19,197,073","638,529","1,574,412","17,139,534","13,926,945","117,189,921"
,,"19,197,073
-",,"5,972,862
(4,398,450)",,"15,363,836
(1,436,891)",
,"231,689,368",,"1,332,560",,"53,310,011",,"326,865,710"
,"(166,975,940)",,"(694,031)",,"(36,170,477)",,"(209,675,789)"
,"64,713,428","19,197,073","638,529","1,574,412","17,139,534","13,926,945","117,189,921"
