HY22,HY21,% Change YoY
"41,460.8","40,188.4",3.2%
"5,873.3","7,187.2",(18.3%)
"23,627.6","22,233.1",6.3%
"52,327.1","35,888.2",45.8%
"4,971.9","4,595.1",8.2%
"4,677.9","3,777.0",23.9%
"132,938.6","113,869.0",16.7%
"3,481.5","2,899.5",20.1%
557.7,376.3,48.2%
"2,013.6","1,638.2",22.9%
"5,495.0","4,537.7",21.1%
"138,433.6","118,406.7",16.9%
"7,841.5","5,442.4",44.1%
0.0,502.6,(100.0%)
93.2,183.5,(49.2%)
"146,368.4","124,535.2",17.5%
"(44,536.6)","(37,021.2)",20.3%
"(1,012.9)","(2,404.5)",(57.9%)
0.0,(502.6),(100.0%
"100,818.8","84,606.9",19.2%
68.9%,68.2%,0.7ppt
"(23,414.0)","(21,226.2)",10.3%
16.0%,17.1%,(1.1ppt)
"77,404.9","63,380.7",22.1%
52.9%,51.1%,1.8ppt
"(19,492.8)","(18,412.7)",5.9%
"57,912.1","44,968.0",28.8%
39.6%,36.3%,3.3ppt
"(2,982.8)",(236.3),>100.0%
(244.9),16.2,<(100.0%)
"54,684.4","44,747.9",22.2%
"(17,628.8)","(11,678.1)",51.0%
"37,055.6","33,069.8",12.1%
"(2,661.4)",0.0,100.0%
"34,394.2","33,069.8",4.0%
23.5%,26.7%,(3.2ppt)
0.92,0.83,12.1%
