"Smart Lifestyle
Channels",Column
"M-PESA
Consumer App","The M-PESA App for consumers delivers the suite of M-PESA solutions to our consumers in a customer
centric approach. This has redesigned the M-PESA customer experience journey to reduce demand in
Call Centre and simplify multiple payments.
It serves as a one stop shop for all SMEs needs including instant Lipa Na M-PESA sign up through the
Merchant App, increased access to market to achieve scale through SME Marketplace and integration of
third party services through Mini Apps."
"M-PESA
Business/
Merchants
Transacting Till
(Buy Goods)","The M-PESA Business till is an enhancement of the existing Lipa Na M-PESA Buy Goods till that enables
business owners to collect payments on the till and use the money collected to make other transactions
directly from their till.
The M-PESA for Business till is ideal for businesses in retail, such as supermarkets, restaurants, hardware,
pharmacies, boutiques, salons etc. that collect money from customers regularly as part of their business.
The product can be accessed via USSD *234*2# or via app M-PESA for Business App."
"M-PESA
Business App","M-PESA for Business App allows merchants and businesses to better visualize their payment collections
and spend, see full statements and transact directly from their M-PESA Business till using the App. The
App provides users a faster and simpler payment experience. Its an alternative to the USSD service
*234# Option 2."
"M-PESA Bill
Manager","This is a service that allows customers to save and pay bills in one transaction, memorizing all paybills
and account numbers and better still, a way for them to be reminded of the bill payment due dates. The
service is available to all M-PESA registered customers and can be accessed by dialling *234# then
selecting M-PESA Products followed by Bill Manager."
"Pochi la
Biashara","Pochi La Biashara, translated to ‘Business Wallet’ in English, is a product that allows M-PESA registered
customers who own informal businesses such as; food vendors, kiosk owners, boda-boda operators,
second hand clothes dealers, etc. to receive and separate business funds from personal funds on their
M-PESA line."
