Column,"2023
KShs’m","2022
KShs’m"
"At start of year
Final dividend declared
Interim dividend declared
Paid during the year","12,053.9","8,684.1"
,"30,049.1","36,860.2"
,"23,237.8","25,641.9"
,"(63,557.8)","(59,132.3)"
At end of year,"1,783.0","12,053.9"
