Column,"2023
KShs’m","2022
KShs’m","2023
KShs’m","2022
KShs’m"
"Other related parties
Vodafone Sales and Services Limited
Vodafone Global Enterpise Limited
Vodafone Roaming Services S.à r.l
Vodafone UK
Vodacom South Africa Limited
Vodacom Tanzania Public Limited Company
Vodacom Service Provider Company (Pty) Ltd
Vodafone Egypt Telecom. S.A.E.
Vodafone Network (Pty) Limited
Vodafone Qatar Q.S.C.
Vodacom Group Ltd
Vodacom International
Vodafone Innovus S.A.
Vodacom Business (Kenya) Limited
Telecel Vodafone S.A.
Vodafone Hungary Ltd
Vodafone Telekomunikasyon A.S
Vodafone-Panafon Hellenic Tel.Co
Vodafone Dağitlm
Iot Nxt (Pty) Limited
Sendy Office
Eneza Education Ltd
Mtc Vodafone Bahrain
The East African Marine System Limited
Sumitomo Corporation Group
Vodafone Foundation
Vodafone Malta
Vodafone Sverige Ab
Vodafone Mobile Services Limited
Vodafone Procurement Company S.A.RI.
Vodafone Group Services Ltd
Vodacom Lesotho Proprietary Limited
Vodacom Mocambique S.A.
Vodacom Congo (RDC) S.A.
Vodacom Proprietary Limited
Vodafone Ghana Limited",,,,
,"1,657.4","2,416.9","1,657.4","2,416.9"
,214.5,–,214.5,–
,220.2,151.5,205.2,151.5
,195.6,642.3,135.0,148.1
,–,57.1,–,57.1
,209.7,217.8,176.2,217.8
,37.3,–,37.3,–
,0.9,2.8,0.9,2.8
,2.1,1.6,2.1,1.6
,53.0,86.8,53.0,86.8
,103.2,552.6,–,250.7
,146.9,–,–,–
,14.1,23.4,14.1,23.4
,65.7,28.5,34.1,–
,–,1.6,–,1.6
,–,1.3,–,1.3
,–,1.4,–,1.4
,–,3.1,–,3.1
,–,2.3,–,2.3
,2.1,418.3,2.1,418.3
,14.5,15.3,14.5,15.3
,–,67.3,–,67.3
,1.9,–,1.9,–
,113.3,103.2,113.3,103.2
,368.5,179.0,–,–
,–,–,–,–
,0.1,–,0.1,–
,–,–,0.0,–
,0.2,–,0.2,–
,"1,765.7","1,152.6",–,–
,747.6,–,–,–
,21.0,–,–,–
,46.2,–,–,–
,30.4,–,–,–
,126.7,–,–,–
,22.8,–,–,–
