Condensed Consolidated Statement of Comprehensive Income,Column,Group,Column
,31-Mar-14,31-Mar-13,%
Kshs ‘000,,(Restated),Change
,"144,672,477","124,287,856
197,888
(47,173,851)
(28,072,654)",16.4%
,"126,625",,(36.0%)
,"(51,963,714)",,10.2%
,"(31,892,090)",,13.6%
,"60,943,298","49,239,239
(22,139,045)
(1,639,951)
(9,678)",23.8%
,"(25,787,231)",,16.5%
,"(186,946)",,(88.6%)
,"15,309",,258.2%
,"34,984,430","25,450,565
(7,910,755)",37.5%
,"(11,966,890)",,51.3%
,"23,017,540","17,539,810",31.2%
,"23,017,540","17,539,810",31.2%
,,0.44,
,0.57,,29.6%
,"18,830,751","12,400,000",51.9%
,,0.31,
,0.47,,51.6%
Condensed Consolidated Statement of Financial Position,,Group,%
,31-Mar-14,31-Mar-13,Change
Kshs ‘000,,,
,,"3,850,000
64,015,128
12,400,000",
,"4,203,311",,9.2%
,"68,201,917",,6.5%
,"18,830,751",,51.9%
,"91,235,979","80,265,128",13.7%
,"5,102,380","12,000,000",(57.5%)
,"96,338,359","92,265,128",4.4%
,,"103,500,133",
,"106,279,478",,2.7%
,,"2,234,294
8,124,808
14,996,922",
,"2,955,967",,32.3%
,"7,746,617",,(4.7%)
,"17,618,884",,17.5%
,"28,321,468","25,356,024",11.7%
,,"27,825,322
537,749
8,227,958",
,"29,473,060",,5.9%
,"1,276,527",,137.4%
,"7,513,000",,(8.7%)
,"38,262,587","36,591,029",4.6%
,,"(11,235,005)",
,"(9,941,119)",,(11.5%)
,"96,338,359","92,265,128",4.4%
Condensed Consolidated Statement of Cash Flows,,Group,%
,31-Mar-14,31-Mar-13,Change
Kshs ‘000,,,
,,"46,486,321
(1,451,683)
(5,903,893)",
,"62,913,283",,35.3%
,"(354,767)",,(75.6%)
,"(11,425,327)",,93.5%
,"51,133,189","39,130,745
(25,361,304)
(7,580,577)",30.7%
,"(28,851,960)",,13.8%
,"(19,659,267)",,159.3%
,"2,621,962","6,188,864",(57.6%)
,,"8,808,058
6,188,864",
,"14,996,922",,70.3%
,"2,621,962",,(57.6%)
,"17,618,884","14,996,922",17.5%
