"2019
KShs’m",Column,"2019
KShs’m"
"248,102",,"247,238"
"2,181",,"2,243"
"250,283","234,227
(70,757)
(50,636)","249,481"
"(72,389)",,"(73,021)"
"(53,590)",,"(52,935)"
"124,304","112,834
(31,908)
(301)
(1,359)
-","123,525"
"(33,660)",,"(33,660)"
(301),,(301)
"(1,370)",,"(1,369)"
-,,-
"88,973","79,266
1,830
(1,197)
10","88,195"
"2,760",,"2,742"
(520),,(473)
5,,5
"91,218","79,909
(24,620)","90,469"
"(28,727)",,"(28,503)"
"62,491","55,289","61,966"
,1.38,
1.56,,1.55
