Principal Risks,Context,How We Manage It
"Fit For Future Digital
Company
Rating: High","We are currently implementing a major
transformation plan to evolve Safaricom
into a Kenya’s digital company with an
aim to deliver world-class customer
experience, increase our speed to market
and increase operational efficiencies.
Failure to do this could lead to missed
commercial opportunities, increased
costs and customer experience issues as
well as stagnated growth.","• K enya’s largest digital services provider of
platforms and partnerships is a companywide
transformation programme, with direct
sponsorship from our Executive Committee. We
have clearly defined objectives and target KPIs for
the overall programme and each functional area
• W e are continuously driving simplification to
reduce the complexity of our products and
propositions with clearly defined objectives and
target KPIs"
"Technology
Resilience
Rating: Medium","Our customer value proposition is based
on the reliable availability of our high
quality network. A major failure in critical
network or information technology assets
for example, through natural disasters,
insufficient preventative maintenance, or
malicious attack – would have a profound
impact on our customers, revenues
and reputation.","• I nvest in maintaining and upgrading our network
on an ongoing basis, with comprehensive business
continuity and disaster recovery plans in place
• I nvestments to ensure adequate redundancy
capabilities and elimination of any single point of
failure"
"Geo-Political Risks
and Insecurity
Rating: Medium","There has been an increase in terror
related activities in the country notably
the Dusit D2 terror attack and targeted
attacks in North Easter region.
Due to our countrywide presence,
these uncertainties have also led to
security concerns affecting our business
operations and leading to increased cost
of operations.","• T he business continues to monitor the political
situation keenly while taking appropriate business
measures to safeguard our operations
• T o manage security risks, we have invested
heavily to ensure our staff, contractors and assets
are protected and we continue to work closely
with law enforcement authorities to ensure our
customers’ interests are well protected
• F urther, we carry out proactive intelligence
gathering, screening and security surveillance"
