94.3,–,134.1,23.9,252.3
58.9,–,35.1,19.8,113.8
153.2,–,169.2,43.7,366.1
–,24.1,–,0.8,24.9
–,9.3,–,0.2,9.5
–,7.1,–,–,7.1
–,2.0,–,–,2.0
–,6.1,–,–,6.1
–,3.2,–,0.1,3.3
–,8.7,–,0.3,9.0
–,1.3,–,–,1.3
–,8.3,–,–,8.3
–,7.1,–,0.3,7.4
–,5.8,–,0.2,6.0
–,10.5,–,1.8,12.3
–,–,–,0.2,0.2
–,–,–,0.1,0.1
–,–,–,0.2,0.2
–,–,–,0.1,0.1
–,93.5,–,4.3,97.8
153.2,93.5,169.2,48.0,463.9
