30-Sep-21,31-Sep-20,% Change
"77,404.9","63,380.7",22.1%
155.0,"1,887.1",(91.8%)
"(2,309.0)","(1,866.0)",23.7%
(7.3),(20.7),(64.7%)
1.3,(29.4),<100.0%
"75,244.9","63,351.9",18.8%
"(22,817.6)","(22,752.4)",0.3%
0.8,76.0,(98.9%)
"52,428.1","40,675.5",28.9%
"(1,292.4)",382.0,<100.0%
"(16,715.9)","(17,453.8)",(4.2%)
"34,419.8","23,603.7",45.8%
