Key Performance Indicators,HY18,Column,HY17,% Increase/
,,,,(Decrease)
"Total customers (m)
Total customer ARPU*
30 day active customers (m)
30 day active customer ARPU
Churn (%)
Voice
30 day active voice customers (m)
30 day active voice customer ARPU*
Voice ARPU(based on total customers)
M-PESA
M-PESA registered customers (m)
Number of M-PESA agents
30 day active M-PESA customers (m)
30 day active M-PESA ARPU*
Mobile Data
30 day active mobile data customers (m)
30 day active mobile data ARPU*
SMS
30 day active SMS customers (m)
30 day active SMS customer ARPU*
SMS ARPU (based on total customers)
Fixed Service**
30 day active Fixed data customers
30 day active Fixed Service ARPU*
Base Stations
2G base stations
3G base stations
4G base stations",,29.49,"26.61
629.02
23.00
731.50
20.62
21.00
365.23
293.99
24.82
114,282
17.63
247.69
14.93
143.77
15.66
91.34
55.12
11,326
35,264
4,061
3,221
635",10.8
,,628.45,,(0.1)
,,24.17,,5.1
,,749.18,,2.4
,,24.58,,4.0
,,22.23,,5.8
,,351.54,,(3.7)
,,271.19,,(7.8)
,,27.81,,12.1
,,"148,107",,29.6
,,19.31,,9.5
,,257.88,,4.1
,,16.95,,13.5
,,169.77,,18.1
,,16.76,,7.0
,,86.16,,(5.7)
,,51.11,,(7.3)
,,"14,142",,24.9
,,"35,122",,7.8
,,"4,435",,9.2
,,"3,913",,21.5
,,"1,454",,>100
