"Responsible, ethical business",Transformational products and services
"Acting responsibly, honestly and with integrity is good
for business, good for individuals and good for society.
We are committed to the very highest ethical standards
and promote a culture that values personal and
corporate integrity.","Communications technology has the potential to
transform lives and societies. We are committed to
developing innovative products and services that help
our customers realise this potential and enjoy improved
access to essential services."
• Strong governance structures,• Affordable and relevant products and services
• Ethics and anti-corruption initiatives,• Financial inclusion
• Business partner sustainability programmes,• Public sector support
• Corporate social investment,• Innovation for social development
