Column,Column,Column,Column,Column,Column,Column,Column,Column,Column,Column,Column,"12,690","13,251","13,799","14,398"
,,,,,,,,"9,132","10,111","10,974","11,823",,,,
,,"4,204","4,561","5,245","5,989","6,815","7,850",,,,,,,,
"3,426","3,873",,,,,,,,,,,,,,
