Income Statement - Shs’ mn,FY13,FY14,FY15,FY16,FY17
,"75,848","84,316
26,561
9,314
2,571
13,620
1,980","87,368","90,802
41,500
21,154
3,815
17,328
3,185","93,459"
,"21,844",,"32,626",,"55,084"
,"6,611",,"14,823",,"29,289"
,"2,113",,"3,128",,"5,242"
,"10,147",,"15,671",,"16,679"
,"1,489",,"2,631",,"4,356"
,"118,051","138,361","156,247","177,784","204,109"
,"6,236","6,312
-","7,117","8,621
9,280","8,700"
,-,,-,,76
,"124,288","144,672","163,364","195,685","212,885"
,-,"127
(51,964)
-",576,"232
(62,310)
(9,280)","2,511"
,"(47,174)",,"(56,709)",,"(66,750)"
,-,,-,,(76)
,"77,114","92,835","107,231","124,327","148,570"
,"(27,875)","(31,892)","(36,040)","(41,261)","(44,961)"
,"49,239","60,943","71,191","83,066","103,610"
,"(22,139)","(25,787)","(25,570)","(27,943)","(33,234)"
,"27,100","35,156","45,621","55,124","70,375"
,"(1,452)","(355)
168
15
-
-",219,"504
398
104
-
(367)",297
,(188),,206,,(59)
,(10),,(4),,19
,-,,108,,-
,-,,-,,-
,"25,451","34,984","46,150","55,763","70,632"
,"(7,911)","(11,967)","(14,278)","(17,658)","(22,188)"
,"17,540","23,018","31,871","38,104","48,444"
,,0.57,,0.95,
,0.44,,0.80,,1.21
,"14,507","22,692","27,524","30,360","43,515"
,"12,400","18,831","25,642","30,483","38,863"
,0.31,0.47,0.64,0.76,0.97
,,,,"27,244",
,,,,0.68,
