(a) Group,"Neither past due
nor impaired","Past due
but not
impaired",Impaired,Total
,Shs’000,"Shs’000
-
273,546
397,779
268,930
166,834
1,708,648",Shs’000,
,"41,202",,"1,937",
,"867,175",,"324,612",
,"398,732",,"496,745",
,"2,140,551",,"8,421",
,"4,408,624",,"409,096",
,"2,590,573",,"169,477",
,"10,446,857","2,815,737","1,410,288",
,,"158,542
265,044
586,690
270,650
386,086
-",,
,"170,513",,"1,590",
,"1,158,337",,"422,248",
,"810,005",,"599,046",
,"2,005,654",,"1,987",
,"909,348",,"577,816",
,"9,279,818",,-,
,"14,333,675","1,667,012","1,602,687",
