Condensed statement of financial position as at:,Group (KShs Mn),Column,Company (KShs Mn),Column
,31-Mar-24,31-Mar-23,31-Mar-24,31-Mar-23
,"558,622.4","436,771.5","316,743.4","279,735.9"
,,"851.6
3,655.6
40,791.5
22,098.1
615.1
28.6
4,395.0
-",,"-
2,231.5
23,788.1
18,061.9
-
-
4,236.3
-"
,-,,7.9,
,"4,526.0",,"2,639.0",
,"48,119.0",,"28,079.9",
,"22,868.2",,"19,072.1",
,"1,563.4",,-,
,-,,-,
,"5,202.0",,"4,748.8",
,263.3,,-,
,"82,541.9","72,435.5","54,547.7","48,317.8"
,"641,164.3","509,207.0","371,291.1","328,053.7"
,,"2,003.3
2,200.0
121,823.6
36,688.4
24,840.6",,"2,003.3
2,200.0
137,065.2
-
24,840.6"
,"2,003.3",,"2,003.3",
,"2,200.0",,"2,200.0",
,"134,314.0",,"171,640.5",
,"61,789.3",,-,
,"26,042.5",,"26,042.5",
,"226,349.1","187,555.9
75,810.0","201,886.3","166,109.1
-"
,"109,398.8",,-,
,"335,747.9","263,365.9","201,886.3","166,109.1"
,"137,594.3","105,463.9
2,408.8
1,783.0
45,555.4
5,354.9
70,625.1
4,524.1
-
10,125.9","60,693.5","61,582.6
192.2
1,783.0
37,563.1
4,376.6
42,235.5
4,524.1
-
9,687.5"
,193.1,,-,
,"6,649.2",,"6,649.2",
,"45,053.6",,"41,555.8",
,"6,411.0",,"5,163.1",
,"94,919.5",,"41,822.5",
,"2,938.9",,"2,938.9",
,263.3,,-,
,"11,393.5",,"10,581.8",
,"167,822.1","140,377.2","108,711.3","100,362.0"
,"305,416.4","245,841.1","169,404.8","161,944.6"
,"641,164.3","509,207.0","371,291.1",
