Condensed Consolidated Statement of Cash Flows,Group,Column,%
Kshs ‘000,31-Mar-15,31-Mar-14,Change
,,"62,913,283
(354,767)
(11,425,327)",
,"74,636,662",,18.6%
,"218,994",,<100%
,"(13,853,092)",,21.2%
,"61,002,564","51,133,189
(28,851,960)
(19,659,267)",19.3%
,"(43,784,988)",,51.8%
,"(20,806,151)",,5.8%
,"(3,588,575)","2,621,962",(236.9%)
,,"14,996,922
2,621,962",
,"17,618,884",,17.5%
,"(3,588,575)",,<100%
,"14,030,309","17,618,884",(20.4%)
