Column,"2023
KShs’m","2022
KShs’m","2023
KShs’m","2022
KShs’m"
"At start of year
Current income tax
Adjustments in respect of current income tax of previous year
Tax paid during the year","(5,283.3)",(253.1),"(5,086.3)",(151.6)
,"(41,113.5)","(39,146.8)","(39,422.7)","(38,706.8)"
,(177.1),(12.1),(177.1),(12.1)
,"45,016.7","34,128.7","44,493.9","33,784.2"
At 31 March,"(1,557.2)","(5,283.3)",(192.2),"(5,086.3)"
"Current asset
Current liabilities",851.6,7.9,–,–
,"(2,408.8)","(5,291.2)",(192.2),"(5,086.3)"
At end of year,"(1,557.2)","(5,283.3)",(192.2),"(5,086.3)"
