"2016
Shs’000",Column
"177,784,089",
"8,621,317",
"9,279,818",
"195,685,224","163,364,121
575,604
(56,708,576)
-
(36,039,990)"
"231,823",
"(62,310,003)",
"(9,279,818)",
"(41,260,953)",
"83,066,273","71,191,159
(21,850,707)
(2,849,518)
(327,032)
(542,902)"
"(24,662,315)",
"(1,790,267)",
"(348,171)",
"(1,141,793)",
"55,123,727","45,621,000
(1,347,720)
1,772,589
-
(4,041)
107,717"
"(1,399,507)",
"2,301,055",
"(366,859)",
"104,089",
-,
"55,762,505","46,149,545
(14,278,242)"
"(17,658,215)",
"38,104,290","31,871,303
-"
-,
"38,104,290","31,871,303"
,"31,871,303
-"
"38,104,290",
-,
"38,104,290","31,871,303"
,0.80
0.95,
0.76,0.64
