Group,Column,Company
2018,2017,2018
Shs’m,Shs’m,Shs’m
"224,535","204,109","224,053"
"8,980","8,700","9,041"
202,76,202
"233,717","212,885","233,296"
510,"2,509",597
"(70,555)","(66,782)","(71,360)"
"(202)
(50,636)","(76)
(44,928)","(202)
(50,320)"
"112,834","103,608","112,011"
"(31,908)","(31,546)","(31,899)"
(301),(345),(301)
"(1,359)","(1,343)","(1,358)"
-,-,(822)
"79,266","70,374","77,631"
"1,830","1,723","1,836"
"(1,197)","(1,484)","(1,234)"
10,19,10
"79,909","70,632","78,243"
"(24,620)","(22,188)","(24,429)"
"55,289","48,444","53,814"
1.38,1.21,1.34
