GROUP,Column,Column,Column
"2022 2021 2022 2021
KShs’m KShs’m KShs’m KShs’m",,,
"295,441.4","261,462.3
2,564.2","292,556.2","259,296.3
3,153.4"
"2,636.5",,"3,289.7",
"298,077.9","264,026.5","295,845.9","262,449.7"
"(91,467.8)","(80,852.8)
(3,009.7)
(46,034.8)","(90,613.6)","(80,334.1)
(3,863.7)
(45,168.6)"
"(2,361.2)",,"(2,602.7)",
"(55,187.0)",,"(49,545.5)",
"149,061.9","134,129.2
(32,624.5)
(406.5)
(1,628.5)
(3,304.8)","153,084.1","133,083.3
(32,570.4)
(406.5)
(1,628.1)
(3,304.8)"
"(34,145.2)",,"(33,922.2)",
(281.3),,(281.3),
"(1,850.0)",,"(1,850.0)",
"(3,656.8)",,"(3,644.2)",
"109,128.6","96,164.9
2,198.4
(4,220.8)
(192.9)
(314.1)","113,386.4","95,173.5
2,177.0
(4,405.5)
(192.9)
(314.1)"
"2,413.4",,"2,050.1",
"(8,852.6)",,"(8,895.2)",
(279.8),,(279.8),
(196.2),,(196.2),
"102,213.4","93,635.5
(24,959.3)","106,065.3","92,438.0
(24,481.4)"
"(34,717.3)",,"(34,276.0)",
"67,496.1","68,676.2","71,789.3","67,956.6"
,"68,676.2
–
–",,"67,956.6
–
–"
"69,648.1",,"71,789.3",
"(2,152.0)",,–,
"(9,536.3)",,–,
"57,959.8","68,676.2","71,789.3","67,956.6"
,"68,676.2
–",,"67,956.6
–"
"64,335.4",,"71,789.3",
"(6,375.6)",,–,
"57,959.8","68,676.2","71,789.3","67,956.6"
1.74,"1.71
1.71",1.79,"1.70
1.70"
1.74,,1.79,
