FY25,Column,% Change
,"833.8
801.6
96.1%
254.4
3.9
7.1",
981.6,,17.7%
996.7,,24.3%
101.5%,,5.4ppt
241.2,,(5.2%)
4.1,,5.6%
7.9,,12.0%
,"46.9
45.6
97.2%
5,928
0.7
4.0",
56.6,,20.7%
55.4,,21.4%
97.8%,,0.6ppt
"7,403",,24.9%
0.9,,22.4%
4.4,,11.5%
,"103.0
94.2
91.5%
10,126
2.3
6.5",
96.4,,(6.4%)
99.1,,5.2%
102.8%,,11.4ppt
"10,285",,1.6%
2.2,,(7.4%)
7.3,,13.6%
,"111.1
2.0
22.4
0.3",
89.1,,(19.8%)
2.2,,8.8%
25.9,,15.6%
0.4,,31.9%
45.8,,41.1%
45.4,,44.6%
11.3,,27.7%
99.2%,,2.5ppt
45.2,,0.8%
0.5,,42.3%
