FY21,FY20,% Change
39.90,35.61,12.0%
551.35,614.58,(10.3%)
31.45,28.63,9.9%
689.82,758.70,(9.1%)
32.37%,25.22%,(7.2ppt)
27.52,25.75,6.9%
257.72,287.16,(10.3%)
"247,869","173,259",43.1%
28.31,24.91,13.6%
256.74,294.68,(12.9%)
12.00,12.72,(5.6%)
23.77,21.99,8.1%
16.71,14.87,12.4%
20.04,19.62,2.1%
186.28,179.70,3.7%
21.79,21.40,1.8%
52.74,60.77,(13.2%)
"137,390","104,498",31.5%
"2,126","1,959",8.5%
58.5%,42.9%,15.6ppt
"38,918","24,802",56.9%
"21,364","8,517",>100.0%
"13,810","20,285",(31.9%)
"3,524","4,511",(21.9%)
"5,526","5,314",4.0%
"5,500","5,275",4.3%
"5,387","4,342",24.1%
