"2016
Shs’000",Column
"2,003,271",
"2,200,040",
"82,866,067",
"30,483,432",
"117,552,810","105,429,892"
,"490,762"
-,
"117,552,810","105,920,654"
,"1,653,376
107,724,849
4,757,055
-
9,852,858
837,341
11,819
1,002
633,408"
"1,407,269",
"113,402,203",
"4,456,065",
"845,000",
"8,712,350",
"857,341",
"115,908",
477,
"837,588",
"130,634,201","125,471,708"
,"8,258,601
10,101,896
2,113,938
11,882,462"
"816,393",
"20,541,259",
"2,391,563",
"5,774,730",
"29,523,945","32,356,897"
,"41,141,067
617,666
10,149,218"
"40,272,336",
"2,333,000",
-,
"42,605,336","51,907,951"
"(13,081,391)","(19,551,054)"
"117,552,810","105,920,654"
