Column,"March
2024"
"Held by
Safaricom PLC
Safaricom PLC
Safaricom PLC
Safaricom PLC
Safaricom PLC
One Communications Limited
One Communications Limited
One Communications Limited
Safaricom PLC
Safaricom PLC
Safaricom PLC
Vodafamily Ethiopia Holding
Company Limited
Global Partnership for Ethiopia
B.V (GPE)
Safaricom PLC
Safaricom PLC
Instaconnect Limited",
,100%
,100%
,100%
,100%
,–
,100%
,100%
,100%
,100%
,100%
,90%-1share
,"57.41%
(Safaricom
indirectly owns
51.67%)"
,"100 % (Safaricom
indirectly owns
51.67%)"
,32.5%
,14.648%
,25%
Safaricom Plc,50%
