Regulatory environment,Mitigation
"The changes in the information, communication and
telecommunication landscape in Kenya has resulted in
increased regulation which is becoming complex and a key
area of focus.
The nature of products and services that we provide requires
that we comply with a wide range of rules and laws from our
regulators namely Communications Authority of Kenya (CA),
Competition Authority of Kenya (CAK) and Central Bank of
Kenya (CBK).
With the ushering in of the European Union’s General Data
Protection Regulation (GDPR) in May 2018, we have had to
adjust our operations accordingly to ensure adherence. The
consequences of non-compliance with the GDPR are punitive.","We continue to build constructive relationships with the
regulators as well as contribute to discussions on emerging
legislation and regulations as we prepare to comply with
new laws.
Our products and services are carefully and continuously
monitored to ensure they do not contravene any regulations."
Competition,Mitigation
"Competition in the telecommunication industry is on the rise
in terms of product and service offerings.
Dynamic market needs, entrance of new players in the market
coupled with speed of new technologies have also intensified
the competition with customer value proposition being the
competitive edge.","Our strategies to manage competition focuses on growing
and retaining our customers by offering quality services and
leveraging on strategic partnerships within different sectors
to ensure we provide the customers with relevant products
and services.
We continue to be innovative and adopt an agile operating
model to be able to respond rapidly to the ever-changing
customers’ needs."
