Name,Salary,Directors’ Fees,Bonus,Non-Cash Benefits,EPSAP*,Totals
,,,,,,Shs ‘m’
,,,,,,6.40
,,,,,,-
,,,,,,2.61
,,,,,,2.45
Michael Joseph,- 2.40 - 0.53 -,,,,,2.93
,,,,,,1.03
Mohamed Joosub,- 1.31 - - -,,,,,1.31
,,,,,,8.48
Vivek Badrinath,- 2.25 - - -,,,,,2.25
,,,,,,1.14
Till Streichert,- 1.31 - - -,,,,,1.31
,,,,,,2.30
Nancy Macharia,- 0.00 - 0.29 -,,,,,0.29
,,,,,,1.90
,,,,,,34.40
,,,,,,327.47
