"2016
Shs’000",Column,"2016
Shs’000",Column
"1,031,454",,"1,018,298",
"736,592",,"736,592",
-,,-,
"(31,281)",,"(31,281)",
"(134,078)",,"(134,078)",
"1,602,687","1,031,454","1,589,531","1,018,298"
