Column,"2023
KShs’m","2022
KShs’m"
"Salaries and other short-term employment benefits
Employee Performance Share Award Plan
Pension contribution
Termination benefits",661.4,"505.7
109.8
27.0
87.0"
,38.2,
,26.8,
,47.8,
,774.2,729.5
