Ksh. Billion,Mar-11,Mar-12,%Change,1H 2012,2H 2012,%Change
"Voice
M-PESA
Data
SMS
Handset & Acquisition","63.50
11.78
5.37
7.54
6.64","68.96
16.87
6.59
7.77
6.80","8.6%
43.2%
22.7%
3.0%
2.4%","31.49
7.88
3.08
3.65
3.53","37.47
8.99
3.51
4.12
3.28","19.0%
14.1%
14.0%
12.9%
-7.1%"
"Total Revenue
Direct costs",94.83,107.00,12.8%,"49.63
( 21.97)",57.37,15.6%
,(37.24),(43.47),-16.7%,,( 21.50),2.1%
Contribution Margin,57.59,63.53,10.3%,27.66,35.86,29.6%
"Contribution Margin %
Total Opex
Operating Expenses-%","60.7%
(21.87)","59.4%
(26.03)","-1.3%
-19.0%","55.7%
(12.90)
26.0%","62.5%
( 13.13)",-1.8%
,23.1%,24.3%,1.2%,,22.9%,
EBITDA,35.72,37.50,5.0%,14.76,22.74,54.1%
"EBITDA Margin %
Depreciation & Amortisation
Net Interest
Forex (loss)/gain
Taxation","37.7%
(16.33)
1.08
0.04
(5.20)","35.0%
(17.34)
(1.70)
(1.08)
(4.74)","-2.7%
-6.2%
258.1%
-2800.0%
8.8%","29.7%
(8.72)
(0.79)
0.14
(1.38)","39.6%
( 8.62)
( 0.91)
( 1.22)
( 3.36)","1.1%
-15.3%
-971.4%
-142.5%"
Net Income,13.16,12.63,-4.0%,4.01,8.62,114.9%
"EPS
Free Cash Flow
Recommended Dividend","0.33
4.46
8.00","0.32
9.35
8.80","-3.0%
109.7%
10.0%","0.10
( 0.74)","0.22
10.09","114.9%
1463.5%"
