"2024
KShs’m",Column,"2024
KShs’m"
"84,687.4","88,345.2
(10,383.1)
(1,563.7)
7,786.6
2,875.9
39,754.5
6,411.3
8,417.9
281.3
(12.5)
50.7
(90.0)
(34.6)
(7.8)
382.6
(56.1)
731.1
–
4,688.9
–
2,429.8
(414.4)
(1,946.7)
(10,042.5)
651.2
21,341.2","123,805.1"
"(22,363.2)",,–
"(2,467.5)",,"(2,257.4)"
"12,644.3",,"10,640.4"
"5,820.0",,"3,058.8"
"55,162.3",,"39,324.2"
"9,699.7",,"4,503.2"
"17,804.5",,"2,836.4"
281.3,,281.3
2.8,,2.8
"1,376.2",,"1,376.2"
–,,–
(268.3),,(250.4)
(29.2),,(29.2)
523.8,,411.1
"(1,047.8)",,(986.8)
"1,270.8",,(18.4)
(289.9),,132.5
"5,808.6",,"6,071.6"
–,,–
(943.5),,"(1,717.7)"
"1,141.0",,767.7
(562.2),,111.8
"(17,926.3)",,"(9,880.9)"
(870.4),,(407.5)
14.8,,"1,164.9"
"149,469.2","159,596.8","178,939.7"
