Agenda,Vote,Total Votes,"As a percentage of the total votes cast
at the meeting"
5 (a) Directors Remuneration Policy,For,"30,060,327,391",99.9996%
,Against,"101,100",0.0003%
,Abstained,-,0%
"5 (b) Directors Remuneration
Report",For,"30,060,199,891",99.9992%
,Against,"228,600",0.0007%
,Abstained,-,0%
