Name of Director,Number of shares held
Nicholas Nganga,"855,100"
Robert Collymore,"1,222,200"
Michael Joseph,"1,178,600"
Esther Koimett,"517,600"
Susan Muthune,"51,200"
Henry Rotich,"2,200"
