"FY20
IFRS 15/16","FY20
IFRS 15/IAS17","FY19
IFRS15/IAS17","% Change
IFRS15/IAS17","IFRS 16
Impact"
138.04,134.63,124.30,8.3%,3.41
2.42,1.25,1.15,8.7%,1.17
(4.58),0.00,0.00,0.0%,(4.58)
(0.06),(0.06),0.00,(<100.0%),0.00
135.82,135.82,125.45,8.3%,0.00
(36.10),(36.10),(37.25),(3.1%),0.00
0.07,0.07,0.25,(72.0%),0.00
99.80,99.80,88.45,12.8%,0.00
2.59,2.59,2.12,22.2%,0.00
(32.11),(32.11),(27.46),16.9%,0.00
70.27,70.27,63.11,11.4%,0.00
