Shs Bn FY 18,"FY 17
Reported","FY 17
Normalized**","YoY%
Reported","YoY%
Normalized"
Voice revenue 95.64,93.46,93.46,2.3%,2.3%
,86.84,86.84,2.4%,2.4%
Incoming voice revenue 6.68,6.62,6.62,0.9%,0.9%
,16.68,16.68,6.2%,6.2%
Mobile data revenue 36.36,29.33,29.33,24.0%,24.0%
,5.24,5.24,27.3%,27.3%
M-PESA revenue 62.91,55.08,55.08,14.2%,14.2%
,4.32,4.32,21.3%,21.3%
Service Revenue 224.54,204.11,204.11,10.0%,10.0%
,212.89,212.89,9.8%,9.8%
Contribution margin 163.47,148.54,146.31,10.1%,11.7%
,69.0%,68.7%,0.9%,1.2%
EBITDA 112.83,103.61,100.25,8.9%,12.5%
,48.1%,47.1%,0.1%,1.1%
EBIT 79.27,70.38,67.02,12.6%,18.3%
,32.7%,31.5%,1.2%,2.4%
Net Income 55.29,48.44,46.11,14.1%,19.9%
,22.5%,21.6%,1.1%,2.0%
Earnings per share 1.38,1.21,1.15,14.1%,19.9%
