Reward,Purpose and link to strategy,Mechanics of reward,Performance metrics
Basic Salary,"To attract and retain high calibre
individuals to deliver the
Company’s strategic plans, by
offering market competitive
remuneration, to reflect an
individual’s skills and experience.","· Paid in 12 equal monthly
instalments during the year
and is pensionable;
· Reviewed annually with salary
changes effective from April,
depending on performance.","Individual and business
performance."
Pension,"To provide competitive post retirement
benefit arrangements so as to attract and
retain high calibre talent, to drive delivery of
Group’s strategy.",None,None
Other benefits,"To aid retention and to facilitate the
attraction and retention of high calibre talent
to deliver the Company’s strategic
Plans.
To remain competitive within the market
place.","The range of benefits includes:
· Medical insurance
· Personal life and accident
insurance
· Security detail (24 hours)
· Education allowance
· Car allowance
· Driver and domestic allowance",
