"Non-cash
Salary Directors’ fees Bonus benefits EPSAP* Total
KShs’m KShs’m KShs’m KShs’m KShs’m KShs’m",Column,Column,Column,Column,Column
88.89,–,178.88,21.16,–,288.93
54.05,–,13.77,19.91,–,87.73
142.94,–,192.65,41.07,–,376.66
–,24.93,–,0.27,–,25.20
–,7.42,–,0.01,–,7.43
–,10.76,–,0.22,–,10.98
–,7.79,–,0.14,–,7.93
–,6.16,–,–,–,6.16
–,5.50,–,–,–,5.50
–,5.85,–,1.65,–,7.50
–,2.80,–,–,–,2.80
–,8.52,–,0.18,,8.70
–,5.89,–,–,–,5.89
–,6.79,–,–,–,6.79
,92.41,–,2.47,–,94.88
142.94,92.41,192.65,43.54,–,471.54
