Risk,Mitigation Strategy
Operational Risks,
"Information and cyber threats
Cyber-attacks, hacking, insider threat or supplier breach
(malicious or accidental) could result in service interruption and/
or the breach of confidential data, with resulting negative impact
on customers, revenues and reputation, and potential costs
associated with fraud
and/or extortion.","Safaricom has enhanced its capacity to handle cybercrime
incidents and technology related crime. Of particular note are
robust cyber security controls complemented by the 24/7 Security
Operations Centre to ensure we safeguard the services that we
offer.
Our ISO 27001 Information Security Certification is an
independent confirmation to our customers that we have
implemented appropriate processes and controls relating to our
M-PESA, billing, mobile data, customer support and cloud services
to protect the privacy of their information.
To ensure excellence in operations we aslo hold the following
certification by a reputable firm from UK:
• ISO 22301 – Business continuity management system
demonstrating our commitment to delivering sustained,
consistent and exception services to our customers and
stakeholders even in the event of any disruption.
• ISO20000 – Information technology service management to
ensure effective running and delivery of IT services.
Our M-PESA service holds GSMA mobile money certification
providing assurance that we have implemented the best mobile
money standards that includes robust security measures.
Our Thika Data Center offering collocation and Cloud services
has recently received the Uptime Tier III Design certification by
Uptime Institute of US, the certification confirms that our Data
center design meets the international best practice requirements
and this is a commitment of our endeavor to provide quality data
center services to our customers."
"Political uncertainties and unrest
The last year has seen the country experience an extended period
of political quagmire which has had adverse impact on the
economic, social and business environments.
Insecurity and or terrorism in some parts of the country may result
in increased costs of operations.","The business continues to monitor the political situation keenly
while taking appropriate business measure to safeguard our
operations. To manage these security risks, we have invested
heavily to ensure our staff, contractors and assets are protected
and we continue to work closely with Law enforcement authorities
to ensure our customers’ interests are well protected.
Further we carry out proactive intelligence gathering, screening
and security surveillance. We will continue to invest in security
training and awareness as well as maintenance and improvement
of our security infrastructure and tools."
