31-Mar-22,31-Mar-21,% Change
"281,548.6","174,719.9",61.1%
"30,779.6","26,736.1",15.1%
"25,919.2","22,347.9",16.0%
"4,306.8","2,487.0",73.2%
7.9,7.2,9.7%
"1,285.0","1,287.8",(0.2%)
"2,951.5","3,043.4",(3.0%)
"65,250.0","55,909.4",16.7%
"346,798.6","230,629.3",50.4%
"2,003.3","2,003.3",0.0%
"2,200.0","2,200.0",0.0%
"110,528.9","96,571.8",14.5%
"(5,312.7)",-,100.0%
"30,049.1","36,860.2",(18.5%)
"139,468.6","137,635.3",1.3%
"40,232.3",-,100.0%
"179,700.9","137,635.3",30.6%
"44,910.8",-,100.0%
"1,937.5","2,436.1",(20.5%)
"3,183.3","3,151.4",1.0%
"4,330.6",-,100.0%
"14,584.9","11,954.2",22.0%
"68,947.1","17,541.7",>100.0%
"41,312.6","34,021.4",21.4%
"5,291.2",260.3,>100.0%
"20,400.0","14,772.0",38.1%
"12,053.9","8,684.1",38.8%
"5,508.5","4,119.5",33.7%
"3,373.8","2,561.5",31.7%
"10,210.6","11,033.5",(7.5%)
"98,150.6","75,452.3",30.1%
"167,097.7","92,994.0",79.7%
"346,798.6","230,629.3",50.4%
