"2019
KShs’m",Column,"2019
KShs’m"
"4,032",,"4,032"
"(20,030)",,"(19,828)"
"(15,998)","(5,457)","(15,796)"
"144,347","123,914","142,972"
"128,349","118,457","127,176"
0%,0%,0%
