Kshs. Bn,Column,HY18,Column,HY17,Column,% Increase/
,Kshs. Bn,,,,,(Decrease)
,EBITDA,,54.27,,50.81,6.8
,Working capital movement,,8.90,,(0.11),(<100)
,Capital Additions,,(17.39),,(18.95),(8.2)
,Operating free cash flow,,45.78,,31.75,44.2
,Net Interest received,,0.33,,0.67,(51.6)
,Taxation paid,,(13.70),,(12.27),11.6
,Free cash flow,,32.40,,20.15,60.8
