Column,FY19,FY20,FY21,FY22,FY23
"Service revenue (KShs billions)
Earnings Before Interest & Tax (EBIT) (KShs billions)
Profit for the year (KShs billions)","240
89
62","251
101
74","250
96
69","281
109
67",296
,,,,,85
,,,,,52
