GROUP,Column,Column,Column
"2022 2021 2022 2021
KShs’m KShs’m KShs’m KShs’m",,,
,"34,021.4
260.3
14,772.0
8,684.1
4,119.5
2,561.5
11,033.5",,"34,068.4
151.6
14,772.0
8,684.1
4,119.5
2,561.5
11,033.5"
"41,312.6",,"38,058.2",
"5,291.2",,"5,086.3",
"20,400.0",,"20,400.0",
"12,053.9",,"12,053.9",
"5,508.5",,"5,437.4",
"3,373.8",,"3,373.8",
"10,210.6",,"10,210.6",
"98,150.6","75,452.3","94,620.2","75,390.6"
"167,097.7","92,994.0","158,851.9","92,932.3"
"346,798.6","230,629.3","303,308.3","228,101.4"
