Column,Shs’000,Column
,"726,422",
,"2,894,630",
,"6,797,629",
,"(555,421)",
"219,151","9,863,260","10,082,411"
"219,151
-",,"16,684,984
(6,602,573)"
,"16,465,833",
,"(6,602,573)",
"219,151","9,863,260","10,082,411"
"219,151
-",,"10,082,411
(1,141,793)"
,"9,863,260",
,"(1,141,793)",
"219,151","8,721,467","8,940,618"
"219,151
-",,"16,684,983
(7,744,365)"
,"16,465,832",
,"(7,744,365)",
"219,151","8,721,467","8,940,618"
