Column,FY16,FY15,GROWTH,H2 FY16,H2 FY15,GROWTH
"Voice - Outgoing
Voice - Incoming
MPesa revenue
Messaging revenue
Mobile data revenue
Fixed service revenue
Other service revenue","83.66
7.14
41.50
17.33
21.15
3.82
3.18","81.19
6.18
32.63
15.63
14.82
3.13
2.63","3.0%
15.5%
27.2%
10.6%
42.7%
22.0%
20.9%","42.03
3.63
22.15
9.30
11.99
1.96
1.81","40.46
3.28
17.03
8.46
8.32
1.64
1.46","3.9%
10.7%
30.0%
9.9%
44.1%
19.2%
24.6%"
Service Revenue,177.78,156.25,13.8%,92.87,80.65,15.2%
"Handset & other revenue
Construction revenue","8.62
9.28","7.11
-","21.2%
-","4.75
0.84","3.38
-","40.7%
-"
Total Revenue,195.68,163.36,19.8%,98.46,84.03,17.2%
"Other Income
Direct Costs
Construction costs","0.23
(62.30)
(9.28)","0.58
(56.71)
-","-60.3%
9.9%
-","0.16
(32.29)
(0.84)","0.02
(27.79)
-",">100%
16.4%
-"
Contribution margin,124.33,107.23,15.9%,65.49,56.26,16.4%
"Contribution margin %
Operating expenses
Forex loss on trading
Opex & forex loss % of service revenue","66.7%
(40.99)
(0.27)
22.1%","65.6%
(35.96)
(0.08)
22.1%","1.1%
14.0%
>100%
-","67.1%
(21.77)
0.51
21.7%","66.9%
(18.60)
-
22.1%","0.2%
16.2%
-
-0.4%"
EBITDA,83.07,71.19,16.7%,44.23,37.66,17.4%
"EBITDA margin %
Depreciation & Amortisation
Net Finance income / (cost)
Forex gain / (loss) on cash & cash equivalents
Fair value loss on investment property
Share of associate profit / (loss)
Asset purchase gain","44.6%
(27.94)
0.51
0.39
(0.37)
0.10
-","43.6%
(25.57)
0.22
0.21
-
-
0.11","0.9%
9.3%
>100%
85.7%
-
-
<100%","45.3%
(14.40)
0.18
(0.30)
(0.37)
0.01
0.00","44.8%
(12.98)
0.15
0.12
-
(0.00)
0.11","0.5%
10.9%
20.9%
<100%
-
<100%
<100%"
Earnings Before Tax (EBT),55.76,46.15,20.8%,29.36,25.05,17.2%
Tax,(17.66),(14.28),23.7%,(9.33),(7.89),18.3%
Net Income,38.10,31.87,19.6%,20.03,17.16,16.7%
"Earnings per share
Free Cash Flow
Recommended ord dividend
Recommended ord dividend per share","0.95
30.36
30.48
0.76","0.80
27.52
25.64
0.64","19.6%
10.3%
18.9%
18.9%","0.50
9.52","0.43
15.48","16.7%
-38.5%"
