Column,Column,FY25,Column,"%
Contribution to
Growth FY25"
"42.02
36.24
27.34
2.9
8.69","52.62
37.72
38.18
3.47
7.93",62.98,"19.7%
-1.3%
27.4%
12.1%
5.7%",7.4%
,,37.23,,-0.3%
,,48.62,,7.5%
,,3.89,,0.3%
,,8.38,,0.3%
117.19,139.91,161.12,15.2%,15.2%
